toplistindex,id,name,subs,views,uploads,countryCode,contentCategory,meantbu,mediantbu,
0,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,116M,86873106997,13909,IN,None,5.040816326530612,36,
1,UC-9-kyTW8ZkZNDHQJ6FgpwQ,Music,108M,0,0,NULL,None,11.571428571428571,0,
2,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,102M,23778902564,3990,US,None,3.1041666666666665,28.0,
3,UClgRkhTL3_hImCAmdLfDE4g,YouTube Movies,93M,0,0,NULL,None,-107,4,
4,UCOpNcN46UbXVtpKMrmU4Abg,Gaming,83.1M,0,0,NULL,None,4.204081632653061,-17,
5,UCEgdi0XIXXZ-qJOFPf4JSKw,Sports,75.5M,0,0,NULL,None,9.081632653061224,21,
6,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,63.7M,41980171095,468,US,None,2.326530612244898,38,
7,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,61.7M,16152619223,3747,US,None,1.4285714285714286,39,
8,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,58.3M,42231212910,33249,IN,None,5.081632653061225,-28,
9,NONE,NULL,37,0,0,PL,NULL,NONE,None,
10,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,50.1M,36734876139,44193,US,None,-7.729166666666667,27.5,
11,UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,47M,635470119,135,CA,None,11.541666666666666,65.5,
12,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,46.8M,9162024910,216,US,None,6.416666666666667,79.0,
13,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,45.3M,21055321766,4339,IN,None,9.040816326530612,0,
14,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,42.9M,14670773406,4821,MX,None,3.8541666666666665,0.5,
15,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,42.5M,18405462151,158,GB,None,19.081632653061224,0,
16,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,40.4M,7421189762,377,US,None,21.102040816326532,35,
17,UCZJ7m7EnCNodqnu5SAtg8eQ,HolaSoyGerman.,39.9M,4057742341,137,CL,None,17.8125,-33.0,
18,UCfM3zsQsOnfWNUppiycmBuw,EminemMusic,39.5M,754964115,117,US,None,-23.775510204081634,81,
19,UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande,38.6M,912253030,135,US,None,-57.265306122448976,38,
20,UC3KQ5GWANYF8lChqjZpXsQw,whinderssonnunes,37.2M,3112345794,370,BR,None,18.791666666666668,20.5,
21,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya Vlog,37.4M,18031141760,318,RU,None,8.040816326530612,-21,
22,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,36.9M,10036066522,1663,CL,None,-0.10204081632653061,-56,
23,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,36.9M,34287757057,80449,IN,None,NONE,None,
24,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,36.7M,13413063567,610,UA,None,-6.428571428571429,-20,
25,NONE,Taylor Swift,36.2M,291993442,172,US,None,NONE,None,
26,UCXazgXDIYyWH-yXLAkcrFxw,elrubiusOMG,36M,8056456890,815,ES,None,46.458333333333336,-8.0,
27,UCYvmuw-JtVrTZQ-7Y4kd63Q,Katy Perry,35.4M,363646008,102,US,None,0.25,25.5,
28,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,34.8M,17684465853,10887,US,None,5.25,-52.0,
29,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,34.7M,8044320438,2017,BR,None,8.795918367346939,13,
30,UCV4xOVpbcV8SdueDCOxLXtQ,Fernanfloo,34M,7472818504,534,SV,None,-0.14285714285714285,-125,
31,UCYfdidRxbB8Qhf0Nx7ioOYw,News,34M,0,0,NULL,NULL,0,0.0,
32,UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,33.3M,19121153653,122,US,None,-20.408163265306122,0,
33,UCcgqSM4YEo5vVQpqwN-MaNw,Rihanna,33.1M,62780346,78,BB,None,-15.333333333333334,5.0,
34,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,31M,5931275224,2978,US,None,-1.9795918367346939,18,
35,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,30.9M,7668199839,253,KR,None,4.8979591836734695,-72,
36,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,30.5M,28326041162,34228,US,None,2.1020408163265305,-3,
37,UCJrOtniJ0-NWz37R30urifQ,Alan Walker,30.3M,7203762019,204,NO,None,5.551020408163265,14,
38,UC9LedNAkae0vGNJaE9Vmx0Q,21 Savage,26.6K,16944320,11,US,None,0.09090909090909091,-1,
39,UC3IZKseVpdzPSBaWxBxundA,ibighit,29.9M,7199872389,335,KR,None,-0.6938775510204082,16,
40,UCF0pVplsI8R5kcAqgtoRqoA,Popular on YouTube,29.7M,0,0,NULL,None,29.122448979591837,24,
41,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,29M,13574516171,6305,IN,None,-13.83673469387755,3,
42,None,None,None,None,None,None,None,NONE,None,
43,UCyoXW-Dse7fURq30EWl_CUA,Goldmines Telefilms,28.8M,5036871506,497,IN,None,9.061224489795919,1,
44,UCj0O6W8yDuLg3iraAXKgCrQ,Você Sabia?,28.8M,3701500467,956,BR,None,9.6875,31.5,
45,NONE,Wave Music,28.8M,19403218749,17908,IN,None,NONE,None,
46,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,28.5M,11278871100,2489,IN,None,-7.244897959183674,-197,
47,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Nikita,28.3M,11974172195,169,US,NULL,8.10204081632653,46,
48,UCBR8-60-B28hp2BmDPdntcQ,YouTube,28.3M,1883366391,302,US,None,-7.916666666666667,74.0,
49,UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,27.8M,265621731,154,US,None,53.40816326530612,76,
50,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,27.8M,19125213645,320,IN,None,-6.122448979591836,102,
51,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,27.7M,11187078251,5535,ES,None,-1.6458333333333333,-32.0,
52,UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,27.5M,10005567069,1816,US,None,4.979591836734694,27,
53,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,27.4M,24339738265,740,AR,None,34.89795918367347,126,
