rank_subscribers,rank_views,sbrank,channeltype,channelid,username,cusername,displayname,created_at,country,subscribers,uploads,vidviews,mean_dt_videos,median_dt_videos,uploads_per_weekday,avgdailyviews,views30,views365
1,1,1,music,UCq-Fj5jknLsUf-MWSy4_brA,tseries,tseriesmusic,T-Series,2006-03-13,IN,122000000,14191,92550818884,1.3333333333333333,1,"[12, 9, 10, 4, 12, 8, 3]",104915000,3291253565,36300067604
2,32199287,30893630,Music,UC-9-kyTW8ZkZNDHQJ6FgpwQ,-9-kyTW8ZkZNDHQJ6FgpwY,,Music,2013-09-24,,108000000,0,0,,,,0,0,0
3,13,119,games,UC-lHJZR3Gqxm24_Vd_AJ5Yw,pewdiepie,PewDiePie,PewDiePie,2010-04-29,US,102000000,4044,24263605478,2.0588235294117645,1,"[7, 7, 7, 8, 8, 8, 7]",9033320,270637285,4657563453
4,32968784,28526149,film,UClgRkhTL3_hImCAmdLfDE4g,lgRkhTL3_hImCAmdLfDE4g,,YouTube Movies,2015-06-10,,97700000,0,0,,,,0,0,0
5,32847984,29335286,games,UCOpNcN46UbXVtpKMrmU4Abg,OpNcN46UbXVtpKMrmU4Abg,,Gaming,2013-12-15,,83200000,0,0,,,,0,0,0
6,30935438,31766214,sports,UCEgdi0XIXXZ-qJOFPf4JSKw,Egdi0XIXXZ-qJOFPf4JSKw,,Sports,2013-12-15,,75400000,0,0,,,,0,0,0
7,2,3,education,UCbCmjCuTUZos6Inko4u57UQ,checkgate, cocomelon,Cocomelon - Nursery Rhymes,2006-09-01,US,67900000,484,46148020703,7.235294117647059,4,"[0, 25, 0, 0, 26, 0, 1]",76200300,2316177157,30486841353
8,30,52,howto,UC295-Dw_tDNtZXFeAPAW6Aw,295-Dw_tDNtZXFeAPAW6Aw,,5-Minute Crafts,2016-11-15,US,62900000,3958,16673958877,1.6724137931034482,1.0,"[7, 8, 8, 7, 12, 11, 6]",11423000,321111561,5672840867
9,3,7,entertainment,UCpEhnqL0y41EpW2TvWAHD7Q,Setindia,set-india,SET India,2006-09-20,IN,61300000,34404,44973823668,0.20202020202020202,0,"[0, 7, 15, 28, 19, 14, 17]",50708200,1498733823,18738662518
10,10,50,music,UCffDXn7ycAzwL2LDlbyWOTw,CanalKondzilla,kondzilla,Canal KondZilla,2012-03-21,BR,54000000,1284,27677526123,1.7692307692307692,1.0,"[9, 7, 10, 12, 7, 5, 3]",13834200,398594819,5972711592
